question_id,image_id,category,question,ground_truth,clean_correct,correctness_trajectory,native_confidence_violations,native_confidence_max_increase,native_confidence_scores,bce_only_violations,bce_only_max_increase,bce_only_scores,bce_plus_order_violations,bce_plus_order_max_increase,bce_plus_order_scores,answer_trajectory,order_help,analysis_type
18192074,2359926,identity,What is the color of the trousers?,khaki,False,0|0|0|0|0,4,0.3684225,-1.490228|-1.457018|-1.178484|-0.810062|-0.450461,3,0.13085085000000007,0.559385|0.566894|0.543575|0.674426|0.698107,3,0.10372967,0.595314|0.597607|0.563572|0.667302|0.687449,tan|white|black|blue|black,0,strongest_native_failure
06435607,2317733,identity,What is the name of the food that is not white?,hot dog,False,0|0|0|0|0,4,0.27215683999999996,-0.839557|-0.778387|-0.506230|-0.443794|-0.352771,3,0.04592478,0.559942|0.525245|0.538647|0.561469|0.607393,3,0.03632970000000002,0.585383|0.549231|0.557486|0.580064|0.616394,sausage|ketchup|ketchup|ketchup|ketchup,0,strongest_native_failure
08249762,2386080,color,What color is the arrow?,white,False,0|0|0|0|0,4,0.20452881,-0.904893|-0.717428|-0.512899|-0.403878|-0.395821,2,0.04386962999999999,0.586355|0.570608|0.566562|0.610432|0.634933,2,0.03916383000000001,0.562975|0.542562|0.540181|0.579345|0.603985,black|black|black|black|black,0,strongest_native_failure
161036612,2368963,color,What color is the curtain in the center?,blue,False,0|1|1|1|0,3,0.16952630000000002,-1.338829|-1.338293|-1.168767|-1.324816|-1.290688,3,0.03417513,0.369565|0.369592|0.403768|0.406990|0.363650,1,0.029153770000000023,0.396717|0.386934|0.416088|0.411819|0.373897,purple|blue|blue|blue|purple,2,order_helps
19648772,2415698,identity,What is the color of the large hair?,tan,False,0|0|0|0|0,1,0.20398989999999984,-1.257527|-1.053538|-1.056995|-1.151347|-1.167156,4,0.01990000000000003,0.363719|0.373844|0.382230|0.402131|0.415867,2,0.016063629999999995,0.409784|0.405259|0.398899|0.414963|0.429293,yellow|black|black|black|black,2,order_helps
08924895,2365711,shape,What shape do you think the chair is?,triangular,False,0|0|0|0|0,3,0.4164977000000001,-1.328162|-1.547589|-1.131092|-1.105504|-1.059069,4,0.055241004999999996,0.084679|0.086383|0.141624|0.144832|0.150142,3,0.0428622,0.098331|0.088866|0.131728|0.133228|0.136610,square|square|square|square|square,1,order_helps
16161462,2376280,color,What color are the pants?,black,True,1|1|0|0|0,2,0.53074065,-0.116311|-0.067145|-0.529097|-1.218221|-0.687481,1,0.020108970000000004,0.292132|0.312241|0.311913|0.310854|0.306202,3,0.016703700000000044,0.307193|0.323897|0.326227|0.328830|0.324447,black|black|pink|pink|pink,-2,order_hurts
01873723,2409967,color,What color is that table?,white,True,1|1|1|1|1,0,-0.005813848999999999,-0.004220|-0.010034|-0.024133|-0.123463|-0.162822,0,-0.0012320899999999635,0.552925|0.497674|0.420500|0.340821|0.339589,1,0.004829150000000004,0.540909|0.480560|0.406112|0.331451|0.336280,white|white|white|white|white,-1,order_hurts
08471223,2386203,color,What color are the shorts?,pink,True,1|1|0|0|0,2,0.35403162,-0.131361|-0.521136|-0.490549|-0.136518|-0.144461,2,0.04946147000000001,0.630474|0.594179|0.605397|0.654858|0.653708,3,0.04715453999999997,0.627914|0.594522|0.596507|0.643662|0.645642,pink|pink|black|black|black,-1,order_hurts
17134462,2404079,identity,What is the color of the fruit in the middle?,purple,True,1|1|1|1|1,0,-0.10292679999999998,-0.149174|-0.261024|-0.390879|-0.493806|-0.880035,0,-0.0014001299999999994,0.465679|0.429734|0.428334|0.411906|0.403049,0,-0.0011957499999999954,0.481661|0.450918|0.449722|0.435671|0.427671,purple|purple|purple|purple|purple,0,native_confidence_strong
11430770,2143,identity,What kind of vehicle is parked?,car,True,1|1|1|1|1,0,-0.09845427999999995,-0.315485|-0.413940|-1.138163|-1.380244|-2.397828,0,-0.05548733,0.483328|0.427841|0.351617|0.227109|0.095053,0,-0.053075609999999995,0.444274|0.391198|0.323098|0.205070|0.087480,car|car|car|car|car,0,native_confidence_strong
00255101,2410643,color,What color is the small hat?,black,True,1|1|1|0|0,0,-0.06061850000000013,-0.102380|-0.173760|-1.186775|-1.406685|-1.467303,1,0.0010114599999999918,0.378857|0.284953|0.181454|0.165042|0.166054,0,-0.00019210999999999534,0.393775|0.282682|0.173599|0.161613|0.161421,black|black|black|red|red,1,native_confidence_strong
18192074,2359926,identity,What is the color of the trousers?,khaki,False,0|0|0|0|0,4,0.3684225,-1.490228|-1.457018|-1.178484|-0.810062|-0.450461,3,0.13085085000000007,0.559385|0.566894|0.543575|0.674426|0.698107,3,0.10372967,0.595314|0.597607|0.563572|0.667302|0.687449,tan|white|black|blue|black,0,proposed_method_failure
03716175,2387346,identity,What is the color of the jacket?,gray,False,0|0|0|0|0,3,0.4937213,-0.609525|-0.115803|-0.254020|-0.096559|-0.087859,3,0.0841421,0.582429|0.600129|0.542420|0.626562|0.627976,3,0.07037859999999996,0.584498|0.590537|0.540619|0.610997|0.613041,black|black|black|black|black,0,proposed_method_failure
13764265,2401635,identity,What is the color of the lamp?,gold,False,0|0|0|0|0,1,0.40687253999999995,-0.469674|-0.062802|-0.072811|-0.093139|-0.100847,3,0.07144883999999996,0.487123|0.558571|0.529802|0.550696|0.562433,3,0.06319093999999997,0.487426|0.550617|0.517053|0.536593|0.548001,white|white|white|white|white,0,proposed_method_failure
